boro,bct2010,centract10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Bronx,2026300,36005026300.0,73.0,73.0,,-1.0,,72.0,,,,,-2.0,,1.0,,17.0,,-2.0,2339,2339,2481,2481
Bronx,2031600,36005031600.0,0.0,0.0,4.0,0.0,,,1.0,,,0.0,0.0,4.0,12.0,,4.0,16.0,0.0,658,658,667,667
Bronx,2032400,36005032400.0,0.0,0.0,,,0.0,1.0,3.0,,,,,,0.0,,,,1.0,1293,1293,1297,1297
Bronx,2032600,36005032600.0,0.0,0.0,1.0,1.0,1.0,0.0,,-1.0,6.0,0.0,,3.0,0.0,,2.0,-1.0,10.0,1169,1169,1180,1180
Brooklyn,3015400,36047015400.0,,,,,,,,,,,,,,,,,,0,0,0,0
Brooklyn,3030200,36047030200.0,-2.0,-2.0,,11.0,5.0,,,-2.0,6.0,-1.0,-2.0,12.0,,11.0,13.0,10.0,2.0,1669,1669,1696,1696
Brooklyn,3030400,36047030400.0,,21.0,1.0,-6.0,3.0,0.0,12.0,,1.0,,6.0,-2.0,0.0,5.0,1.0,2.0,-1.0,1747,1747,1762,1762
Brooklyn,3018200,36047018200.0,,,4.0,0.0,1.0,1.0,3.0,-2.0,-2.0,0.0,3.0,,,,12.0,,1.0,1295,1295,1303,1303
Brooklyn,3038200,36047038200.0,7.0,7.0,-1.0,-1.0,,1.0,9.0,,-2.0,2.0,-1.0,,,2.0,22.0,10.0,3.0,2106,2106,2120,2120
Brooklyn,3040200,36047040200.0,0.0,0.0,20.0,,2.0,,,2.0,-1.0,1.0,,,2.0,5.0,-1.0,1.0,0.0,1045,1045,1069,1069
Brooklyn,3045800,36047045800.0,-1.0,0.0,4.0,0.0,0.0,-1.0,,0.0,-2.0,-3.0,0.0,2.0,1.0,-2.0,11.0,1.0,2.0,585,585,584,584
Staten Island,5010500,36085010500.0,0.0,0.0,5.0,4.0,5.0,-1.0,-3.0,3.0,-1.0,0.0,18.0,-1.0,3.0,6.0,5.0,0.0,-3.0,1862,1862,1891,1891
Staten Island,5023900,36085023900.0,1.0,1.0,6.0,2.0,7.0,3.0,1.0,,1.0,2.0,,0.0,2.0,0.0,7.0,3.0,1.0,1092,1092,1115,1115
Bronx,2020000,36005020000.0,0.0,0.0,4.0,1.0,0.0,1.0,,,,,0.0,,0.0,3.0,1.0,0.0,3.0,1663,1663,1669,1669
Bronx,2028600,36005028600.0,,,7.0,,-3.0,,,2.0,2.0,,,,3.0,,1.0,1.0,2.0,540,540,548,548
Bronx,2020502,36005020502.0,3.0,5.0,,6.0,,,3.0,-4.0,,,,,2.0,9.0,8.0,3.0,4.0,699,699,707,707
Bronx,2040702,36005040702.0,160.0,160.0,,16.0,-5.0,-5.0,,1.0,,197.0,,-1.0,19.0,3.0,125.0,,,2509,2509,2872,2872
Bronx,2031800,36005031800.0,,,0.0,,,,,0.0,,1.0,,,26.0,2.0,0.0,,18.0,646,646,647,647
Bronx,2035000,36005035000.0,,,,-2.0,6.0,-1.0,2.0,,,4.0,0.0,,0.0,,17.0,1.0,5.0,701,701,710,710
Bronx,2045800,36005045800.0,,,,,,,,,,,,,,,,,,2037,2037,2037,2037
Bronx,2046000,36005046000.0,,,7.0,6.0,19.0,,,2.0,1.0,,,,1.0,2.0,-1.0,1.0,4.0,1020,1020,1055,1055
