boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Bronx,BX33,Longwood,153.0,154.0,243.0,12.0,100.0,2.0,0.0,140.0,72.0,31.0,191.0,141.0,80.0,10.0,75.0,7.0,63.0,9075,9075,10160,10160
Brooklyn,BK69,Clinton Hill,225.0,258.0,251.0,243.0,188.0,174.0,446.0,387.0,422.0,188.0,742.0,349.0,417.0,256.0,1115.0,384.0,146.0,16997,16997,20612,20612
Queens,QN33,Cambria Heights,-1.0,-2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-2.0,1.0,-1.0,8.0,6220,6220,6226,6226
Brooklyn,BK43,Midwood,36.0,43.0,22.0,-3.0,23.0,-6.0,14.0,-5.0,275.0,1.0,457.0,41.0,37.0,125.0,273.0,165.0,9.0,20918,20918,21773,21773
Brooklyn,BK26,Gravesend,49.0,55.0,20.0,-8.0,67.0,65.0,22.0,18.0,6.0,-4.0,18.0,12.0,26.0,13.0,51.0,22.0,53.0,12514,12514,12779,12779
Brooklyn,BK29,Bensonhurst East,104.0,149.0,64.0,3.0,40.0,9.0,3.0,32.0,4.0,107.0,51.0,12.0,92.0,62.0,89.0,61.0,92.0,25605,25605,26034,26034
Brooklyn,BK72,Williamsburg,13.0,13.0,7.0,5.0,105.0,2.0,-15.0,233.0,4.0,151.0,3.0,50.0,16.0,7.0,101.0,63.0,176.0,8807,8807,9365,9365
Brooklyn,BK75,Bedford,256.0,283.0,363.0,236.0,324.0,169.0,145.0,409.0,420.0,488.0,624.0,503.0,685.0,207.0,1168.0,459.0,623.0,27722,27722,31659,31659
Brooklyn,BK35,Stuyvesant Heights,33.0,50.0,56.0,167.0,85.0,91.0,76.0,419.0,454.0,277.0,313.0,239.0,491.0,360.0,888.0,426.0,199.0,27842,27842,30052,30052
Brooklyn,BK96,Rugby-Remsen Village,16.0,17.0,14.0,9.0,16.0,-1.0,-1.0,3.0,3.0,5.0,2.0,23.0,136.0,74.0,37.0,10.0,18.0,21639,21639,21728,21728
Bronx,BX31,Allerton-Pelham Gardens,2.0,4.0,12.0,-3.0,19.0,13.0,3.0,13.0,29.0,2.0,15.0,7.0,115.0,9.0,64.0,27.0,45.0,10237,10237,10349,10349
Brooklyn,BK91,East Flatbush-Farragut,27.0,36.0,15.0,4.0,0.0,3.0,0.0,-1.0,-10.0,4.0,93.0,120.0,169.0,144.0,270.0,21.0,43.0,18310,18310,18565,18565
Brooklyn,BK78,Bushwick South,246.0,342.0,244.0,122.0,300.0,116.0,404.0,326.0,561.0,1570.0,1296.0,621.0,689.0,712.0,1058.0,598.0,530.0,26946,26946,32752,32752
